"passage_number","passage","question_no","question","option_a","option_b","option_c","option_d","correct_answer"
11,null,106,"What does the phrase Res integra connote in the above passage?","Issues of law which have not been decided or untouched by dictum or decision.","Issues of law which have been settled by court.","Issues of law where so many inconsistent decisions are present","Issues of law which should be resolved by the legislature and not by the court","A"
11,null,107,"In which of the following cases, the Delhi HC had observed that the 'Introduction of constitutional law in the home is most appropriate. It is like introducing a bull in a china shop.'?","Harvinder Kaur v Harmender Singh Chaudhry","Maneka Gandhi v. Indira Nehru Gandhi","T. Saritha v. Union of India","Prakash v. Phulwati","A"
11,null,108,"Which of the following statement is correct?","Only 1","1 and 2 only","2, 3 and 4","1 and 3 only","D"
11,null,109,"What is the meaning of ‘Khula’ in the above passage?","Khula is the right of a woman in Islam to divorce and it means separation from her husband","Khula is the right of a man in Islam to divorce and it means separation from his wife","Khula is 'obtaining release from each other'.","Khula is a form of Talaq practiced in Shia community.","A"
11,null,110,"Pick up the correct statement-","Muslim women cannot get divorce on the grounds of cruelty.","Hindu woman can get divorce on the conversion to any religion by her husband...","Hindu woman can get divorce on the non -payment of maintenance for two years","All the above","B"
12,null,111,"In relation to State responsibility, the Permanent Court of International Justice has observed that: 'It is a principle of international law... that any breach of an engagement involves an obligation to make reparation’...","Chorzow Factory Case.","Home Missionary Society Case","Corfu Channel Case","Genocide Convention Case","A"
12,null,112,"The name of which one of the following cases has been replaced by ‘[1]’ in the above paragraph?","Corfu Channel Case","Trail Smelter Arbitration","International Commission on the River Oder Case","Case Concerning auditing of accounts between Netherlands and France.","C"
12,null,113,"The name of which of the following cases has been replaced by ‘[2]’ in the above paragraph?","Island of Palmas Case","Nuclear Tests Case","Corfu Channel Case","None of the above.","A"
12,null,114,"Which Article has been replaced by ‘[3]’ in the above paragraph?","191","192","193","194","D"
12,null,115,"In which of the following cases, the International Court of Justice pointed out that when in regard to any matter of practice, two states follow it repeatedly for a long time, it becomes a binding customary rule?","West Rand Central Gold Mining Company Ltd Case","South West Africa Case","Right of Passage over Indian Territory Case","North Sea Continental Shelf Case","C"
12,null,116,"Doctrine of 'Sic utere tuo ut alienum non leadas' is contained in which of the following?","Basel Convention, 1989","Principle 21 of Rio Declaration","Kyoto Protocol, 1997","Principles 21 and 22 of Stockholm Declaration","D"
12,null,117,"Advisory Opinion can be given by the International Court of Justice on Legal question:","On the request of Security Council Only","On the request of General Assembly only","On the request of General Assembly or Security Council or both.","On the request of Economic and Social Council if authorised by the Security Council.","C"
12,null,118,"In International Law, a good example of the application of principle of Sovereignty is the 'theory of auto-limitation'. This theory was given by which of the following schools of thought?","Positivist","Historical","Sociological","Naturalist","A"
12,null,119,"Which of the following instruments refer to the 'Polluter Pays' Principle for fixing the liability in environmental cases?","Principle 16 of Rio Declaration","International Convention on Oil Pollution Preparedness, Response and Cooperation, 1990.","Convention on Transboundary Effects of Industrial Accidents 1992.","All of the above.","D"
12,null,120,"International Court of Justice is different from the Supreme Court of India because:","It is an International Court having jurisdiction on all countries.","Its judgements are binding on all the members of United Nations.","Its judgements have no binding force.","Its jurisdiction is limited to States which have consented to its jurisdiction and its judgements are binding only on the parties to the dispute.","D"
