"case_number","case_name","passage","case_question_id","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-09","Which of the following constitutional doctrines supports judicial intervention to prevent injustice or misuse of legal power?","Doctrine of judicial review","Doctrine of basic structure","Doctrine of political question","Doctrine of harmonious construction","(A)","The doctrine of judicial review enables courts to check misuse of power by state or individuals — ensuring that justice prevails over procedural abuse."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-10","The broader jurisprudential theme of Achin Gupta aligns with which of the following constitutional mandates?","Article 32 – Right to Constitutional Remedies","Article 50 – Separation of Judiciary from Executive","Articles 14 & 21 – Protection against arbitrariness and unfair procedure","Article 19 – Freedom of Expression","(C)","The decision reaffirms that fairness, non-arbitrariness, and procedural justice under Articles 14 and 21 form the bedrock of constitutional governance and individual liberty."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-01","Which fundamental right was primarily invoked by the Court in striking down the Electoral Bonds Scheme?","Article 14 – Equality before law","Article 19(1)(a) – Freedom of speech and expression","Article 19(1)(c) – Freedom of association","Article 21 – Right to life and liberty","(B)","The Court held that voters’ right to information about political funding is a part of freedom of speech and expression under Article 19(1)(a)."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-02","The Court found the Electoral Bonds Scheme unconstitutional mainly for violating which doctrine?","Doctrine of severability","Doctrine of proportionality","Doctrine of pith and substance","Doctrine of colourable legislation","(B)","The Court applied the proportionality test, holding that restricting transparency was not the least restrictive means to achieve the goal of curbing black money."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-03","Which earlier case first recognised the voters’ “right to know” as part of freedom of expression under Article 19(1)(a)?","Union of India v. Association for Democratic Reforms (2002)","People’s Union for Civil Liberties v. Union of India (2003)","Kuldip Nayar v. Union of India (2006)","Subramanian Swamy v. Union of India (2016)","(A)","The 2002 ADR case first recognised the voter’s right to know about candidates’ criminal, educational, and financial background as part of Article 19(1)(a)."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-04","The Court struck down the Electoral Bonds Scheme because it—","Promoted free speech of donors","Limited state expenditure on elections","Enabled anonymous political donations, violating voters’ right to information","Restricted corporate funding of political parties","(C)","The Court found anonymity in donations unconstitutional since it denied citizens vital information needed to make informed electoral choices."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-05","Which of the following doctrines ensures that restrictions on fundamental rights must be least intrusive to achieve the state’s objective?","Doctrine of severability","Doctrine of proportionality","Doctrine of basic structure","Doctrine of implied limitation","(B)","Under the doctrine of proportionality, any restriction on fundamental rights must be necessary, suitable, and the least restrictive to achieve the intended purpose."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-06","Which landmark case earlier expanded Article 21 to include the concept of “fair, just and reasonable procedure”?","A.K. Gopalan v. State of Madras (1950)","ADM Jabalpur v. Shivkant Shukla (1976)","Maneka Gandhi v. Union of India (1978)","Kesavananda Bharati v. State of Kerala (1973)","(C)","Maneka Gandhi connected Articles 14, 19, and 21, establishing the “fair, just, and reasonable” standard — later applied in assessing proportionality in ADR (2024)."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-07","The Court’s reasoning that transparency is fundamental to democracy echoes which constitutional principle?","Rule of law and informed citizenry","Parliamentary privilege","Judicial restraint","Federal supremacy","(A)","The Court linked transparency and informed voting to the rule of law, emphasizing that a well-informed citizenry sustains democratic accountability."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-08","Which of the following best represents the significance of this case for Indian democracy?","It limited the powers of the Election Commission.","It mandated criminalisation of anonymous donations.","It restored the voters’ right to information and ensured transparency in political funding.","It abolished corporate donations entirely.","(C)","The judgment reaffirmed voters’ right to know and mandated transparency in political financing, reinforcing democratic accountability."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-09","The Court’s approach in this case most closely aligns with which of the following global constitutional doctrines?","Doctrine of legitimate expectation (UK)","Doctrine of informed choice (US First Amendment jurisprudence)","Doctrine of parliamentary sovereignty (UK)","Doctrine of unitary accountability (France)","(B)","The Court’s reasoning reflects the doctrine of informed choice, a concept from U.S. First Amendment jurisprudence, linking free speech to informed democratic participation."
"CQ-24-04","Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024)","In Association for Democratic Reforms & Anr. v. Union of India & Ors. (2024), a five-judge Constitution Bench of the Supreme Court struck down the Electoral Bonds Scheme, 2018, holding it unconstitutional. The scheme allowed individuals and corporations to donate anonymously to political parties. The Court ruled that the scheme violated Article 19(1)(a) since the voter’s right to know is an integral part of freedom of expression. It found the state’s justification of curbing black money disproportionate to the restriction on transparency. The decision underscored that transparency, accountability, and electoral integrity are indispensable to a functioning democracy.","CQ-24-04-10","The ADR (2024) decision strengthens which element of the basic structure of the Constitution?","Separation of powers","Free and fair elections","Federal balance","Judicial independence","(B)","By invalidating the opaque electoral bonds scheme, the Court reinforced free and fair elections, a cornerstone of the Constitution’s basic structure."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-01","Which provision of the Constitution was primarily interpreted by the Court in AMU v. Naresh Agarwal (2024)?","Article 29(1) – Cultural rights of minorities","Article 30(1) – Right of minorities to establish and administer educational institutions","Article 25 – Freedom of religion","Article 26 – Rights of religious denominations","(B)","The case centred on Article 30(1), which grants minorities the right to establish and administer educational institutions of their choice, free from state interference."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-02","The 2024 Supreme Court decision in AMU v. Naresh Agarwal—","Affirmed the correctness of Azeez Basha (1968)","Partly modified Azeez Basha","Overruled Azeez Basha in its entirety","Left Azeez Basha undecided","(C)","The Seven-Judge Bench categorically overruled Azeez Basha, rejecting its view that statutory creation deprived AMU of its minority status."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-03","According to the majority in AMU (2024), an institution’s minority character depends primarily on-","Whether its funding currently comes from the government","Whether the founding community conceived and created the institution","Whether it is recognised as an “institution of national importance”","The level of state regulation applicable to it","(B)","The decisive factor is who founded the institution and for whose benefit, not how it was later recognised or incorporated by statute."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-04","The Court clarified the difference between “establishment” and “incorporation” as—","Establishment refers to legal registration; incorporation means physical setup","Establishment refers to founding initiative; incorporation confers legal personality","Both mean the same under Article 30(1)","Incorporation relates only to public institutions","(B)","The Court held that “establishment” means the act of creating or founding, while “incorporation” merely grants legal recognition—the latter cannot nullify the founders’ role."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-05","Which earlier case had doubted Azeez Basha and prompted the 2024 Seven-Judge reference?","T.M.A. Pai Foundation v. State of Karnataka (2002)","Anjuman-e-Rahmaniya v. District Inspector of Schools (1981)","P.A. Inamdar v. State of Maharashtra (2005)","The Durgah Committee, Ajmer v. Syed Hussain Ali (1961)","(B)","The Two-Judge Bench in Anjuman-e-Rahmaniya (1981) doubted the correctness of Azeez Basha and referred the issue to a larger bench, paving the way for the 2024 judgment."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-06","In AMU (2024), the majority upheld the Rahmaniya reference as valid because—","The President had formally referred the question under Article 143","The Chief Justice, as “master of the roster”, may assign cases to any larger bench","A two-judge bench can always overrule a Constitution Bench","The High Court’s certification was binding on the Supreme Court","(B)","The Court upheld the Chief Justice’s prerogative to constitute any bench strength for reconsideration of constitutional questions, validating the procedural route taken."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-07","Which dissenting judge argued that the Rahmaniya reference was procedurally invalid and infringed judicial discipline?","Justice Surya Kant","Justice Dipankar Datta","Justice Satish C. Sharma","All of the above","(D)","Justices Surya Kant, Dipankar Datta, and Satish C. Sharma dissented, holding that a two-judge bench cannot refer a five-judge decision to a larger bench, breaching judicial hierarchy."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-08","Which of the following factors is not part of the criteria laid down by the Court for identifying a minority educational institution?","Who founded and funded the institution","The primary community it seeks to benefit","Degree of state regulation permissible","The caste composition of its governing body","(D)","The Court listed founding initiative, purpose, and beneficiary community as criteria; caste composition was irrelevant to determining minority character."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-09","The Court’s clarification that “national importance” does not negate minority character aligns most closely with which constitutional doctrine?","Doctrine of basic structure","Doctrine of harmonious construction","Doctrine of secular inclusivity","Doctrine of severability","(C)","The Court emphasized that an institution can be of national importance while still retaining minority character, reflecting secular inclusivity and pluralism."
"CQ-24-05","Aligarh Muslim University v. Naresh Agarwal (2024)","In Aligarh Muslim University through its Registrar (Faizan Mustafa) v. Naresh Agarwal & Ors. (2024), a Seven-Judge Constitution Bench of the Supreme Court (4:3 majority) overruled S. Azeez Basha v. Union of India (1968). The Court held that statutory incorporation does not erase a university’s minority character if it was originally established by a minority community. It laid down criteria to determine when an institution qualifies as a minority institution under Article 30(1) and clarified that minority rights extend to pre-Constitution institutions. The ruling redefined the constitutional scope of minority education rights and reaffirmed secular inclusivity.","CQ-24-05-10","The interpretive approach adopted by the majority in AMU (2024) most closely follows which earlier constitutional precedent?","Maneka Gandhi v. Union of India (1978) – Substance over form doctrine","S.R. Bommai v. Union of India (1994) – Federal principles","Kesavananda Bharati v. State of Kerala (1973) – Basic structure","Shayara Bano v. Union of India (2017) – Manifest arbitrariness","(A)","The majority’s reasoning mirrored Maneka Gandhi’s substance-over-form approach, prioritising intent and founding identity over technical statutory form."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-01","Under which provisions of the Hindu Marriage Act, 1955 did the Court grant divorce in Amutha v. A.R. Subramanian?","Sections 12 and 13(1)(iii)","Sections 13(1)(ia) and 13(1)(ib)","Sections 9 and 24","Sections 10 and 27","(B)","Divorce was granted on the grounds of cruelty [13(1)(ia)] and desertion [13(1)(ib)], considering the false criminal complaint and prolonged separation as valid grounds."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-02","The Court invoked its powers under Article 142 of the Constitution in Amutha to—","Create a new statutory ground for divorce","Do complete justice and dissolve the marriage despite procedural limits","Review the correctness of criminal proceedings","Grant anticipatory bail to the husband","(B)","Using Article 142, the Court exercised its equitable jurisdiction to grant complete justice by dissolving the marriage even though the statutory framework lacked a specific provision for irretrievable breakdown."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-03","The principle that false criminal complaints against a spouse can amount to mental cruelty was originally articulated in—","Samar Ghosh v. Jaya Ghosh (2007)","K. Srinivas Rao v. D.A. Deepa (2013)","Vishnu Dutt Sharma v. Manju Sharma (2009)","Naveen Kohli v. Neelu Kohli (2006)","(B)","In K. Srinivas Rao (2013), the Supreme Court held that false criminal allegations by one spouse amount to mental cruelty — a key precedent relied upon in Amutha."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-04","Which of the following cases provided the illustrative parameters for mental cruelty under Section 13(1)(ia)?","Samar Ghosh v. Jaya Ghosh (2007)","Vineeta Sharma v. Rakesh Sharma (2020)","Savitri Pandey v. Prem Chandra Pandey (2002)","Hiralal v. State of U.P. (1973)","(A)","Samar Ghosh (2007) laid down comprehensive guidelines for mental cruelty, including indifference, humiliation, false allegations, and long separation."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-05","“Irretrievable breakdown of marriage” is—","A statutory ground under Section 13(1)(ix) of the Hindu Marriage Act","A constitutional right under Article 21","A judicially evolved ground applied under Article 142 for doing complete justice","A defence to a divorce petition","(C)","The doctrine of irretrievable breakdown is not statutory, but judicially evolved under Article 142, starting with Naveen Kohli (2006) and applied in Amutha (2024)."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-06","Which principle regarding the High Court’s powers in matrimonial appeals under Section 100 CPC did the Supreme Court reaffirm in Amutha?","High Courts cannot reappreciate evidence in second appeals unless a substantial question of law arises.","High Courts have unfettered discretion to re-evaluate all facts.","High Courts must accept findings of trial courts even if perverse.","High Courts can directly grant divorce without appeal.","(A)","The Court reiterated that under Section 100 CPC, High Courts can interfere only on substantial questions of law, not to reassess evidence already evaluated by lower courts."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-07","Which of the following earlier decisions first recommended legislative recognition of irretrievable breakdown of marriage as a ground for divorce?","K. Srinivas Rao v. D.A. Deepa (2013)","Naveen Kohli v. Neelu Kohli (2006)","Samar Ghosh v. Jaya Ghosh (2007)","Manish Goel v. Rohini Goel (2010)","(B)","In Naveen Kohli (2006), the Supreme Court urged Parliament to add irretrievable breakdown as a ground for divorce — later used judicially under Article 142 in cases like Amutha."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-08","Which constitutional value is reflected in the Supreme Court’s reasoning that a dead marriage should not be kept alive by law?","Right to equality under Article 14","Right to dignity and personal liberty under Article 21","Freedom of association under Article 19(1)(c)","Constitutional morality under Article 32","(B)","The Court emphasised individual dignity and personal liberty (Article 21) — stating that forcing continuation of a dead marriage undermines human freedom and emotional well-being."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-09","The Amutha (2024) judgment reinforces which constitutional doctrine governing the Supreme Court’s equitable power?","Doctrine of pith and substance","Doctrine of complete justice","Doctrine of harmonious construction","Doctrine of basic structure","(B)","The Court relied on the Doctrine of Complete Justice, rooted in Article 142, to ensure equitable relief where statutory mechanisms proved inadequate."
"CQ-24-06","Amutha v. A.R. Subramanian (2024)","In Amutha v. A.R. Subramanian (2024), the Supreme Court dealt with a marriage that had irretrievably broken down after years of separation. The wife had filed a false criminal complaint later found baseless. The Court granted divorce under Sections 13(1)(ia) (cruelty) and 13(1)(ib) (desertion) of the Hindu Marriage Act, 1955, observing that false allegations amount to mental cruelty, and prolonged separation amounts to desertion. Exercising its equitable powers under Article 142, the Court granted complete justice by dissolving the marriage and closing long-standing litigation.","CQ-24-06-10","The Amutha ruling exemplifies which evolving trend in Indian matrimonial jurisprudence?","Narrow interpretation of cruelty and strict adherence to fault theory","Humanised approach focusing on emotional reality and individual dignity","Rejection of Article 142 powers in matrimonial cases","Preference for conciliation over dissolution","(B)","The judgment reflects the humanistic, dignity-based approach — prioritising emotional realities, fairness, and compassion over rigid fault theory in modern matrimonial law."
